first_name,last_name,title,authority,company,domain,tier,employees,revenue_usd,location,zi_person_id
Ronald,McGrath,Owner,Owner,HighRoad Solution,highroadsolutions.com,Diamond,19,3708000,Ashburn VA,1588567049
Donald,Kemick,President & Owner,Owner,Protocol 80,protocol80.com,Diamond,20,4321000,Lewis Run PA,1260575927
Parker,Short,CEO & Owner,Owner,Pyxis Growth Partners,pyxisgrowth.com,Diamond,8,1514000,Austin TX,1534286032
Blaine,LaFleur,Owner,Owner,Vested Marketing,vested.marketing,Diamond,8,1116000,Lafayette LA,1791171486
Pauline,Lewis,Co-Founder,Founder,CauseMic,causemic.com,Diamond,16,807000,Portland OR,41943030
Matthew,Scott,CEO & Co-Founder,Founder,CauseMic,causemic.com,Diamond,16,807000,Portland OR,10215346636
John,Angove,Co-Founder & President,Founder,Commercient,commercient.com,Diamond,94,19745000,Marietta GA,11516352
Corinne,Allgaier,Co-Founder & CFO,Founder,Commercient,commercient.com,Diamond,94,19745000,Marietta GA,11082553203
Kristin,Dennewill,Co-Founder & Co-CEO,Founder,Denamico,denamico.com,Diamond,19,3555000,Minneapolis MN,2095455617
Brendon,Dennewill,Co-CEO & Co-Founder,Founder,Denamico,denamico.com,Diamond,19,3555000,Minneapolis MN,2095455618
Alok,Anibha,Co-Founder,Founder,Girikon,girikon.com,Diamond,300,73119000,Phoenix AZ,3001009883
Caleb,Edwards,Founder & CEO,Founder,GreenHouse Agency,ghagency.com,Diamond,7,2094000,Lake Mary FL,10658752549
Dustin,Brackett,CEO & Founder,Founder,HIVE Strategy,hivestrategy.com,Diamond,16,1106000,Henderson CO,2556725782
David,Scilabro,Founder & CEO,Founder,Harvest ROI,harvestroi.com,Diamond,8,1952000,Avon OH,2611206979
Lois,Harmon,Founder,Founder,IMPACT,impactplus.com,Diamond,40,8000000,Cheshire CT,3087115251
Rachel,Begg,Co-Founder,Founder,Impulse Creative,impulsecreative.com,Diamond,23,7092000,Fort Denaud FL,1670461403
Todd,Laire,CEO & Co-Founder,Founder,LAIRE,lairedigital.com,Diamond,18,5687000,Charlotte NC,1328915064
William,Haraway,Co-Founder,Founder,Lead Coverage,leadcoverage.com,Diamond,22,1807000,Atlanta GA,2046490156
Jennelle,McGrath,CEO & Founder,Founder,Market Veep,marketveep.com,Diamond,14,1040000,Burlington MA,9237112816
Adam,Sharrow,Co-Founder & Principal,Founder,Process Pro Consulting,processproconsulting.com,Diamond,13,937000,Austin TX,10615336894
Andrew,Millet,Founder & Principal,Founder,Process Pro Consulting,processproconsulting.com,Diamond,13,937000,Austin TX,2604356470
Aaron,Platt,CEO & Founder,Founder,Sales Momentum,salesmomentum.io,Diamond,9,467000,North Bay Village FL,2841826900
Parag,Jagdale,Co-Founder & CEO,Founder,Unific,unific.com,Diamond,23,3196000,Chicago IL,849568950
Leah,Cunnington,President & Founder,Founder,Unific,unific.com,Diamond,23,3196000,Chicago IL,9033606027
Colten,Roderigue,Co-Founder & CEO,Founder,elefante RevOps,elefanterevops.com,Diamond,5,1644000,Truckee CA,5314685728
Garo,Aroian,Co-Founder & CRO,Founder,elefante RevOps,elefanterevops.com,Diamond,5,1644000,Truckee CA,2694313569
Matt,Reilly,Chairman & CEO,Chairman,Brickwork,brick.work,Diamond,52,10990000,Chicago IL,16616282201
Spencer,Powell,Chief Executive Officer,CEO,Builder Funnel,builderfunnel.com,Diamond,23,4214000,Colorado Springs CO,1681692401
Nathan,Scott,President & CEO,CEO,Cargas Systems,cargas.com,Diamond,189,22211000,Lancaster PA,14448283814
Richard,Jenkins,Chief Executive Officer,CEO,Commercient,commercient.com,Diamond,94,19745000,Marietta GA,5901497302
Jed,Morey,Chief Executive Officer,CEO,Hypha,hyphadev.io,Diamond,21,597000,Syosset NY,3216318698
Tim,Ritchie,Chief Executive Officer,CEO,Integrate IQ,integrateiq.com,Diamond,14,2652000,Louisville KY,2566702182
Antoine,Vial,Chief Executive Officer,CEO,Kalungi,kalungi.com,Diamond,93,17503000,Seattle WA,10048777044
Chris,Knipper,Chief Executive Officer,CEO,Kuno Creative,kunocreative.com,Diamond,27,4061000,Lorain OH,89706491
Kevin,Dean,President & CEO,CEO,ManoByte,manobyte.com,Diamond,28,4252000,Tampa FL,1300899728
Annie,Smith,Chief Executive Officer,CEO,Ocozzio,ocozzio.com,Diamond,285,25500000,Augusta GA,1834772978
Douglas,Kirk,Chief Executive Officer,CEO,Optimize 3.0,optimize3point0.com,Diamond,6,668000,Mamaroneck NY,10710569
Rebecca,Gonzalez,Chief Executive Officer,CEO,Orange Marketing,orangemarketing.com,Diamond,7,1531000,Newport Beach CA,815792000
Dawn,Mathis,Chief Executive Officer,CEO,Primo Coding,primocoding.com,Diamond,9,2564000,,3387517638
Tyler,Samani-Sprunk,Chief Executive Officer,CEO,Simple Strat,simplestrat.com,Diamond,9,1056000,Lincoln NE,3051366057
Maor,Ventorero,Chief Executive Officer,CEO,Solutech.ai,solutech.ai,Diamond,4,3916000,Tel Aviv,5187560699
Michael,Svanascini,President,President,Americaneagle.com,americaneagle.com,Diamond,800,194982000,Des Plaines IL,-1367457772
Anthony,Svanascini,President,President,Americaneagle.com,americaneagle.com,Diamond,800,194982000,Des Plaines IL,8057259307
Kevin,Potrzeba,President,President,Brickwork,brick.work,Diamond,52,10990000,Chicago IL,2097704220
Danielle,Russell,President,President,Builder Funnel,builderfunnel.com,Diamond,23,4214000,Colorado Springs CO,8856931193
David,Caruso,President,President,HighRoad Solution,highroadsolutions.com,Diamond,19,3708000,Ashburn VA,1370818704
Katie,Coelho,President & Integrator,President,IMPACT,impactplus.com,Diamond,40,8000000,Cheshire CT,6530283663
Tom,Nelson,President,President,NDG Communications,ndgcommunications.com,Diamond,30,5966000,La Plata MD,3705513969
Thomas,DiScipio,Managing Partner,Equity partner,IMPACT,impactplus.com,Diamond,40,8000000,Cheshire CT,988225930
Marcus,Sheridan,Partner,Equity partner,IMPACT,impactplus.com,Diamond,40,8000000,Cheshire CT,65359292
Joshua,Curcio,CRO & Partner,Equity partner,Protocol 80,protocol80.com,Diamond,20,4321000,Lewis Run PA,1544060076
Darian,Rogers,CFO & Partner,Equity partner,Provisions Group,provisionsgroup.com,Diamond,147,35828000,Franklin TN,69313837
Adrian,Robinson,Partner & Chief Strategy Officer,Equity partner,RBP Consulting,roofingbusinesspartner.com,Diamond,27,1543000,Leduc AB,17705347413
