zi_company_id,domain,tier,company,employees,revenue_usd,location,zi_contacts_available,exec_contact_found
547001497,vested.marketing,diamond,Vested Marketing,8,1116000,Lafayette LA,9,yes
1105209815,hivestrategy.com,diamond,HIVE Strategy,16,1106000,Henderson CO,21,yes
401121510,simplestrat.com,diamond,Simple Strat,9,1056000,Lincoln NE,13,yes
416231881,marketveep.com,diamond,Market Veep,14,1040000,Burlington MA,23,yes
547179227,commaeight.com,diamond,Comma8,11,994000,,13,no
480383539,simplebusinesshelp.com,diamond,Simple Business Help,4,943000,Philadelphia PA,1,no
464996484,processproconsulting.com,diamond,Process Pro Consulting,13,937000,Austin TX,16,yes
414482755,causemic.com,diamond,CauseMic,16,807000,Portland OR,24,yes
348484391,optimize3point0.com,diamond,Optimize 3.0,6,668000,Mamaroneck NY,3,yes
546847113,digitalimpact.ai,diamond,Digital Impact Media Group,5,601000,Missoula MT,1,no
1335023777,hyphadev.io,diamond,Hypha,21,597000,Syosset NY,9,yes
1327235887,salesmomentum.io,diamond,Sales Momentum,9,467000,North Bay Village FL,3,yes
